"","ID..year.event.number.","What.event.did.you.attend.","Indicate.the.gender.you.identify.the.most.with.","What.is.your.sexual.orientation.","What.is.your.race...Mark.all.that.apply.","Are.you.a.Transfer.Student.","What.is.your.UCLA.affiliation.","Where.are.you.currently.living.this.school.year.","How.did.you.hear.about.this.event.or.program.","To.what.extent.do.you.agree.with.the.following.statements...By.attending.this.event..I.gained.knowledge.and.or.skills.that.will.benefit.my.overall.health.or.well.being..","To.what.extent.do.you.agree.with.the.following.statements...I.would.apply.the.knowledge.and.or.skills.I.gained.from.attending.this.event.in.my.life..","To.what.extent.do.you.agree.with.the.following.statements...I.would.attend.a.similar.event.in.the.future..","Briefly.describe.what.you.liked.or.disliked.about.this.event.","committee"
"1","21-001-001","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Facebook, Instagram, Twitter","Strongly Agree","Strongly Agree","Strongly Agree","I liked getting to meet people and socialize!!! ","Active Minds"
"2","21-001-002","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","It was very interactive and the people I worked with were very nice! I loved getting to know campus more as well!","Active Minds"
"3","21-001-003","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Middle Eastern","No","Undergraduate 2nd Year","Off-campus apartment","From a friend","Agree","Agree","Agree","","Active Minds"
"4","21-001-004","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Agree","Strongly Agree","Strongly Agree","","Active Minds"
"5","21-001-005","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Bisexual","Hispanic or Latinx","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Instagram","Neither Agree nor Disagree","Agree","Strongly Agree","I liked meeting new people and getting to know the campus better :) I wish the clues were related to student wellness facts ","Active Minds"
"6","21-001-006","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Neither Agree nor Disagree","Strongly Agree","loved the competitiveness !","Active Minds"
"7","21-001-007","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","I loved meeting everyone I participated in the event with and getting to know new people.","Active Minds"
"8","21-001-008","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Bisexual","Asian","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","I liked getting to know other people. ","Active Minds"
"9","21-001-009","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","Yes","Undergraduate 4th Year","Off-campus apartment","From a friend","Agree","Neither Agree nor Disagree","Strongly Agree","It was a fun way to connect with people and explore the campus! ","Active Minds"
"10","21-001-010","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Bisexual","Asian, White","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","i liked the teamwork aspect!","Active Minds"
"11","21-001-011","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","No","Undergraduate 4th Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Agree","Strongly Agree","Strongly Agree","","Active Minds"
"12","21-001-012","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 1st Year","On campus housing (dorms, university apartment)","Instagram","Agree","Agree","Agree","Good exercise","Active Minds"
"13","21-001-013","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","","Active Minds"
"14","21-001-014","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Strongly Agree","I liked the social interaction and physical activity involved in this event. I think the physical activity involved should have been emphasized more.","Active Minds"
"15","21-001-015","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","No","Undergraduate 4th Year","Off-campus apartment","From a friend","Agree","Agree","Agree","It was nice to meet people","Active Minds"
"16","21-001-016","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Really fun but disappointed we didn’t get first place :(","Active Minds"
"17","21-001-017","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 4th Year","Off-campus apartment","Instagram","Agree","Agree","Agree","","Active Minds"
"18","21-001-018","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","I’m in active minds","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","","Active Minds"
"19","21-001-019","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian, White","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","I loved meeting new people! ","Active Minds"
"20","21-001-020","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Bisexual","Asian, White","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Strongly Agree","I liked walking around campus and meeting new people!","Active Minds"
"21","21-001-021","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Bisexual","Middle Eastern, White","No","Undergraduate 4th Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Disagree","Agree","Strongly Agree","It was fun overall! I wish it had been a little clearer that it was based on arrival instead of submit time, but scavenger hunts are always great. We didn’t really get a lot of social time, but we did get to chat!","Active Minds"
"22","21-001-022","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Pansexual","Asian","No","Undergraduate 3rd Year","Off-campus apartment","Email","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","It was super fun and I liked walking around campus and talking with other students!","Active Minds"
"23","21-001-023","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Heterosexual/Straight","Hispanic or Latinx","No","Undergraduate 4th Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","The fact that we didn’t win :(","Active Minds"
"24","21-001-024","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Instagram, Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Disagree","Neither Agree nor Disagree","Disagree","","Active Minds"
"25","21-001-025","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Non-Binary","Bisexual","Hispanic or Latinx","No","Undergraduate 1st Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","it was really fun to walk around campus with th people i met, but it was also a lot of walking.","Active Minds"
"26","21-001-026","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Disagree","Neither Agree nor Disagree","Agree","I think the focus should’ve been more on the riddles and less on who can figure out the fastest route! Maybe more health/mental wellness/SWC related clues?","Active Minds"
"27","21-001-027","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Heterosexual/Straight","White","No","Undergraduate 4th Year","On campus housing (dorms, university apartment)","From a friend","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Got to help my roomates get to know the campus ","Active Minds"
"28","21-001-028","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","From a friend","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","","Active Minds"
"29","21-001-029","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 4th Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","","Active Minds"
"30","21-001-030","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Heterosexual/Straight","Asian","No","Undergraduate 4th Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","I loved the aspect of exploring campus and meeting new people.","Active Minds"
"31","21-001-031","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Instagram, Email","Agree","Agree","Agree","It was a substitute for the orientation I couldn’t have, and I got to know new people 😀","Active Minds"
"32","21-001-032","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 3rd Year","Off-campus apartment","SWC Search member","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","A couple people in my group already knew each other, so I felt a little left out. However, it was still nice socializing with all of them overall.","Active Minds"
