ID (year-event-number),What event did you attend? ,Indicate the gender you identify the most with:,What is your sexual orientation?,What is your race? (Mark all that apply),Are you a Transfer Student?,What is your UCLA affiliation?,Where are you currently living this school year?,How did you hear about this event or program?,"To what extent do you agree with the following statements: [By attending this event, I gained knowledge and/or skills that will benefit my overall health or well-being.]",To what extent do you agree with the following statements: [I would apply the knowledge and/or skills I gained from attending this event in my life.],To what extent do you agree with the following statements: [I would attend a similar event in the future.],Briefly describe what you liked or disliked about this event.
21-001-001,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Facebook, Instagram, Twitter",Strongly Agree,Strongly Agree,Strongly Agree,I liked getting to meet people and socialize!!! 
21-001-002,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Agree,It was very interactive and the people I worked with were very nice! I loved getting to know campus more as well!
21-001-003,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Middle Eastern,No,Undergraduate 2nd Year,Off-campus apartment,From a friend,Agree,Agree,Agree,
21-001-004,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,
21-001-005,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Bisexual,Hispanic or Latinx,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)",Instagram,Neither Agree nor Disagree,Agree,Strongly Agree,I liked meeting new people and getting to know the campus better :) I wish the clues were related to student wellness facts 
21-001-006,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Neither Agree nor Disagree,Strongly Agree,loved the competitiveness !
21-001-007,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Asian,No,Undergraduate 3rd Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Agree,I loved meeting everyone I participated in the event with and getting to know new people.
21-001-008,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Bisexual,Asian,No,Undergraduate 3rd Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,I liked getting to know other people. 
21-001-009,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,White,Yes,Undergraduate 4th Year,Off-campus apartment,From a friend,Agree,Neither Agree nor Disagree,Strongly Agree,It was a fun way to connect with people and explore the campus! 
21-001-010,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Bisexual,"Asian, White",No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Agree,i liked the teamwork aspect!
